 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
2828,320.861,4.211,0,255,486.228,1057.261,0.876,1,1.208,0.828,0.978
2829,161.532,1.905,0,255,346.207,1055.219,0.869,1,1.173,0.853,0.966
2830,184.878,37.121,0,255,513.267,1055.164,0.899,1,1.050,0.953,0.976
2831,363.513,0.037,0,255,583.209,1060.077,0.818,1,1.173,0.853,0.951
2832,197.259,0.271,0,255,335.454,1056.099,0.851,1,1.259,0.795,0.970
2833,183.304,0.000,0,0,355.428,1056.765,0.849,1,1.119,0.894,0.963
2834,212.841,0.251,0,255,716.223,1057.837,0.764,1,1.851,0.540,0.957
2835,215.307,89.474,0,255,71.156,1059.431,0.900,1,1.023,0.977,0.975
2836,126.540,0.000,0,0,135.054,1057.710,0.904,1,1.053,0.950,0.972
2837,191.593,0.070,0,255,414.748,1059.732,0.875,1,1.293,0.773,0.970
2838,255.755,1.465,0,255,260.359,1062.225,0.889,1,1.034,0.967,0.977
2839,218.979,0.489,0,255,640.666,1060.063,0.741,1,1.507,0.663,0.944
2840,212.683,0.000,0,0,403.394,1061.331,0.799,1,1.215,0.823,0.944
2841,164.365,0.081,0,255,709.728,1060.897,0.796,1,1.268,0.789,0.948
2842,152.351,0.000,0,0,743.083,1061.110,0.901,1,1.129,0.886,0.974
2843,211.319,0.127,0,255,770.351,1062.327,0.875,1,1.126,0.888,0.970
2844,269.605,4.466,0,255,553.060,1063.048,0.817,1,1.466,0.682,0.965
2845,185.875,4.894,0,255,41.867,1064.173,0.902,1,1.054,0.949,0.974
2846,236.449,0.000,0,0,357.847,1065.165,0.783,1,1.278,0.783,0.942
2847,391.633,0.205,0,255,791.986,1069.761,0.883,1,1.043,0.959,0.979
2848,604.002,0.399,0,255,717.916,1072.869,0.806,1,1.385,0.722,0.958
2849,226.429,0.000,0,0,353.348,1071.278,0.760,1,1.605,0.623,0.950
2850,210.532,76.570,0,255,19.540,1068.885,0.876,1,1.098,0.911,0.974
2851,241.643,102.753,0,255,74.239,1069.225,0.850,1,1.318,0.759,0.965
2852,143.223,0.000,0,0,405.778,1066.787,0.854,1,1.390,0.720,0.968
2853,258.903,0.258,0,255,185.113,1071.308,0.882,1,1.234,0.810,0.977
2854,242.692,0.331,0,255,296.695,1071.021,0.804,1,1.190,0.840,0.943
2855,331.721,0.403,0,255,666.481,1072.207,0.855,1,1.343,0.745,0.972
2856,335.026,0.679,0,255,527.890,1072.165,0.808,1,1.372,0.729,0.963
2857,268.556,21.420,0,255,118.159,1074.506,0.835,1,1.289,0.776,0.960
2858,186.714,0.000,0,0,375.475,1071.786,0.856,1,1.303,0.767,0.964
2859,239.072,0.839,0,255,445.915,1071.419,0.781,1,1.308,0.765,0.945
2860,175.330,0.000,0,0,768.748,1070.548,0.890,1,1.135,0.881,0.974
2861,191.856,4.253,0,255,556.763,1071.081,0.832,1,1.330,0.752,0.962
2862,240.803,0.000,0,0,698.172,1072.133,0.827,1,1.388,0.720,0.964
2863,196.472,0.000,0,0,854.683,1072.502,0.902,1,1.118,0.895,0.977
2864,158.752,1.348,0,255,598.006,1073.363,0.826,1,1.454,0.688,0.965
2865,245.105,45.902,0,255,54.299,1076.465,0.875,1,1.260,0.793,0.977
2866,201.981,0.596,0,255,580.792,1076.086,0.798,1,1.349,0.741,0.943
2867,225.012,0.595,0,255,679.242,1075.774,0.864,1,1.284,0.779,0.977
