 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
1499,311.575,0.129,0,255,119.297,536.130,0.827,1,1.340,0.746,0.967
1500,246.627,0.054,0,255,334.854,532.638,0.884,1,1.216,0.822,0.975
1501,177.691,1.280,0,255,748.015,531.756,0.872,1,1.023,0.977,0.970
1502,364.195,1.433,0,255,459.556,535.768,0.839,1,1.197,0.835,0.967
1503,127.537,1.049,0,255,230.041,531.598,0.879,1,1.371,0.729,0.971
1504,376.681,0.284,0,255,326.304,538.202,0.812,1,1.445,0.692,0.960
1505,133.045,0.804,0,255,577.693,530.963,0.838,1,1.320,0.757,0.956
1506,208.801,0.128,0,255,694.562,533.537,0.858,1,1.121,0.892,0.967
1507,280.570,0.477,0,255,804.882,535.889,0.859,1,1.275,0.784,0.975
1508,284.924,1.174,0,255,558.650,535.157,0.880,1,1.073,0.932,0.973
1509,368.865,0.145,0,255,586.602,536.853,0.822,1,1.198,0.834,0.962
1510,145.846,0.642,0,255,106.974,534.515,0.810,1,1.414,0.707,0.950
1511,300.453,0.089,0,255,608.368,535.738,0.867,1,1.161,0.861,0.972
1512,117.569,0.228,0,255,815.519,533.428,0.884,1,1.161,0.861,0.968
1513,335.656,0.040,0,255,130.156,539.295,0.801,1,1.466,0.682,0.962
1514,305.857,0.131,0,255,35.237,537.033,0.785,1,1.487,0.672,0.967
1515,150.305,0.000,0,0,863.926,536.883,0.656,1,1.691,0.591,0.754
1516,508.258,1.658,0,255,667.796,539.559,0.839,1,1.240,0.806,0.967
1517,161.165,0.332,0,255,509.266,536.401,0.888,1,1.138,0.879,0.972
1518,141.701,0.189,0,255,68.440,536.600,0.829,1,1.394,0.717,0.960
1519,342.843,0.156,0,255,759.095,540.014,0.843,1,1.379,0.725,0.974
1520,276.058,0.242,0,255,782.942,541.081,0.880,1,1.200,0.834,0.974
1521,300.034,0.223,0,255,840.611,541.609,0.876,1,1.218,0.821,0.974
1522,284.085,0.047,0,255,644.112,541.360,0.883,1,1.217,0.821,0.978
1523,287.128,0.699,0,255,686.979,540.904,0.784,1,1.477,0.677,0.958
1524,342.161,0.391,0,255,514.700,543.452,0.811,1,1.324,0.755,0.952
1525,281.619,0.048,0,255,626.589,542.977,0.897,1,1.072,0.933,0.977
1526,192.066,0.070,0,255,51.003,542.314,0.793,1,1.372,0.729,0.949
1527,186.924,0.215,0,255,72.831,542.184,0.784,1,1.601,0.625,0.954
1528,383.607,0.837,0,255,230.787,547.944,0.751,1,1.649,0.606,0.955
1529,277.947,0.674,0,255,16.023,544.465,0.809,1,1.326,0.754,0.951
1530,325.530,0.123,0,255,80.821,548.698,0.816,1,1.065,0.939,0.950
1531,323.484,1.572,0,255,698.554,547.299,0.859,1,1.206,0.829,0.973
1532,140.915,0.570,0,255,30.858,543.543,0.865,1,1.147,0.871,0.970
1533,129.740,0.103,0,255,416.425,544.019,0.821,1,1.562,0.640,0.961
1534,350.345,0.191,0,255,748.181,548.435,0.880,1,1.014,0.986,0.971
1535,289.751,0.923,0,255,572.781,547.298,0.851,1,1.194,0.837,0.973
1536,295.469,1.132,0,255,467.443,548.565,0.862,1,1.107,0.903,0.969
1537,119.352,0.000,0,0,486.687,545.318,0.876,1,1.109,0.901,0.963
1538,147.892,0.181,0,255,561.790,545.542,0.883,1,1.312,0.762,0.968
1539,256.437,0.626,0,255,479.293,548.777,0.826,1,1.243,0.804,0.969
1540,238.915,0.560,0,255,100.738,549.144,0.882,1,1.105,0.905,0.973
1541,235.190,0.057,0,255,119.895,548.619,0.856,1,1.116,0.896,0.965
1542,133.307,0.000,0,0,204.209,548.144,0.875,1,1.078,0.927,0.964
1543,315.877,1.567,0,255,455.691,552.229,0.877,1,1.222,0.819,0.978
1544,211.267,0.570,0,255,532.015,548.946,0.814,1,1.381,0.724,0.948
1545,251.191,0.799,0,255,441.133,551.730,0.830,1,1.217,0.822,0.966
1546,235.610,0.568,0,255,812.777,549.962,0.861,1,1.339,0.747,0.976
1547,177.376,0.528,0,255,583.439,551.261,0.875,1,1.349,0.741,0.976
1548,186.872,0.000,0,0,591.416,550.026,0.892,1,1.134,0.882,0.976
1549,151.512,0.000,0,0,863.280,550.824,0.689,1,1.313,0.761,0.775
1550,236.239,16.762,0,255,262.437,553.421,0.874,1,1.202,0.832,0.970
1551,252.398,0.371,0,255,503.410,553.900,0.820,1,1.395,0.717,0.967
1552,316.507,1.564,0,255,412.968,554.597,0.836,1,1.213,0.824,0.967
1553,291.325,0.046,0,255,20.720,554.922,0.867,1,1.086,0.921,0.973
1554,176.274,0.683,0,255,768.330,552.809,0.879,1,1.273,0.786,0.974
1555,290.223,0.138,0,255,396.482,556.445,0.790,1,1.544,0.648,0.954
1556,146.423,0.731,0,255,292.581,552.896,0.907,1,1.019,0.981,0.974
1557,302.604,0.531,0,255,384.819,556.853,0.811,1,1.410,0.709,0.956
1558,488.584,0.465,0,255,494.388,560.612,0.822,1,1.232,0.812,0.970
1559,283.718,0.613,0,255,663.227,555.939,0.878,1,1.234,0.810,0.977
1560,221.025,0.061,0,255,629.804,554.565,0.872,1,1.134,0.882,0.970
1561,337.230,0.040,0,255,200.558,557.433,0.791,1,1.112,0.899,0.957
1562,204.132,1.114,0,255,533.690,554.992,0.816,1,1.364,0.733,0.955
1563,302.499,0.442,0,255,118.336,558.764,0.771,1,1.331,0.751,0.946
1564,272.071,0.148,0,255,45.016,557.916,0.796,1,1.492,0.670,0.956
1565,330.514,1.052,0,255,110.409,562.922,0.757,1,1.600,0.625,0.948
1566,224.120,0.716,0,255,727.022,558.804,0.860,1,1.403,0.713,0.972
1567,307.064,19.518,0,255,355.378,560.075,0.869,1,1.317,0.759,0.977
1568,247.938,0.270,0,255,477.110,560.495,0.845,1,1.231,0.812,0.969
1569,220.186,0.425,0,255,697.735,559.820,0.893,1,1.066,0.938,0.973
1570,193.220,1.316,0,255,751.623,558.437,0.873,1,1.257,0.796,0.969
1571,196.105,0.273,0,255,778.746,559.090,0.880,1,1.262,0.793,0.976
1572,278.996,0.719,0,255,841.820,561.072,0.860,1,1.218,0.821,0.969
1573,211.057,0.190,0,255,210.511,561.035,0.834,1,1.483,0.674,0.965
1574,273.330,0.930,0,255,597.592,560.834,0.865,1,1.129,0.886,0.972
1575,486.538,2.282,0,255,716.265,564.611,0.828,1,1.087,0.920,0.964
1576,210.165,0.000,0,0,130.215,559.561,0.849,1,1.209,0.827,0.961
1577,399.870,0.301,0,255,96.040,563.003,0.751,1,1.078,0.927,0.940
